t_s,dtw_relaxed,dtw_open,dtw_close,env,fsm,gripper,fired
0.408,428.19,1283.19,2386.29,39.8,IDLE,open,
0.471,447.54,1356.79,2444.78,37.3,IDLE,open,
0.523,473.49,1354.57,2433.04,46.8,PULSE,open,
0.565,485.32,1308.94,2372.78,46.3,PULSE,open,
0.615,505.51,1299.54,2366.33,49.0,PULSE,open,
0.655,527.28,1287.50,2368.27,55.4,PULSE,open,
0.702,528.55,1348.49,2397.84,59.6,PULSE,open,
0.753,586.11,1358.75,2404.09,59.6,PULSE,open,
0.796,582.42,1367.75,2418.73,56.9,PULSE,open,
0.843,628.86,1387.70,2435.57,53.3,PULSE,open,
0.958,679.23,1402.54,2412.89,56.8,PULSE,open,
1.007,659.80,1443.07,2425.56,60.7,PULSE,open,
1.055,732.72,1420.54,2438.24,59.7,PULSE,open,
1.096,732.93,1456.41,2482.76,57.3,PULSE,open,
1.145,769.10,1472.87,2505.03,56.5,PULSE,open,
1.195,778.65,1461.64,2507.67,55.1,PULSE,open,
1.236,794.90,1435.94,2495.89,52.4,PULSE,open,
1.289,808.81,1336.87,2425.03,46.9,PULSE,open,
1.329,813.14,1262.76,2408.38,43.6,PULSE,open,
1.384,814.00,1268.94,2403.62,41.3,PULSE,open,
1.428,657.68,1143.09,2387.87,37.5,PULSE,open,
1.479,512.78,1035.99,2372.53,29.2,PULSE,open,
1.521,490.99,1023.41,2375.10,26.9,PULSE,open,
1.566,523.67,1111.86,2403.79,28.9,PULSE,open,
1.611,506.71,1115.36,2393.12,33.3,PULSE,open,
1.657,519.96,1100.39,2394.23,30.3,PULSE,open,
1.707,509.83,1086.65,2388.74,29.1,PULSE,open,
1.752,476.79,1079.58,2382.32,33.7,PULSE,open,
1.802,496.01,1079.34,2383.68,32.1,PULSE,open,
1.846,432.25,1057.94,2390.47,27.6,PULSE,open,
1.891,397.80,1000.24,2402.45,22.6,REFRACTORY,open,
1.938,330.17,993.84,2415.76,15.7,REFRACTORY,open,
1.984,333.36,962.45,2436.54,14.8,REFRACTORY,open,
2.032,329.36,1140.94,2577.51,13.2,REFRACTORY,open,
2.078,335.07,1143.50,2585.88,13.7,REFRACTORY,open,
2.128,330.87,1153.12,2602.75,12.7,REFRACTORY,open,
2.171,318.04,1152.54,2614.73,13.7,REFRACTORY,open,
2.216,309.01,1149.03,2625.85,20.1,REFRACTORY,open,
2.264,269.24,1146.56,2635.50,21.1,REFRACTORY,open,
2.310,296.15,1144.34,2640.59,23.7,REFRACTORY,open,
2.360,270.13,1165.83,2611.08,27.7,REFRACTORY,open,
2.405,298.30,1176.09,2609.85,32.5,REFRACTORY,open,
2.458,262.41,1178.97,2605.49,29.2,REFRACTORY,open,
2.502,290.52,1306.10,2707.27,31.5,REFRACTORY,open,
2.546,275.18,1321.31,2698.50,33.7,REFRACTORY,open,
2.593,293.80,1381.58,2734.32,35.5,REFRACTORY,open,
2.639,298.93,1471.58,2774.82,41.3,REFRACTORY,open,
2.688,299.45,1474.68,2784.17,34.1,REFRACTORY,open,
2.733,308.31,1475.45,2783.88,37.0,REFRACTORY,open,
2.783,296.69,1476.01,2771.94,40.4,REFRACTORY,open,
2.828,311.03,1479.35,2779.04,37.4,REFRACTORY,open,
2.874,277.80,1497.06,2813.80,37.2,REFRACTORY,open,
2.921,317.53,1492.36,2791.47,38.7,REFRACTORY,open,
2.968,287.12,1465.80,2764.00,38.8,REFRACTORY,open,
3.017,327.00,1433.39,2730.30,40.5,REFRACTORY,open,
3.061,294.90,1403.42,2707.92,39.6,REFRACTORY,open,
3.112,323.47,1370.36,2676.29,40.8,REFRACTORY,open,
3.166,314.40,1336.02,2645.01,39.0,REFRACTORY,open,
3.200,339.92,1291.97,2607.48,39.6,REFRACTORY,open,
3.249,329.63,1206.54,2580.58,34.6,REFRACTORY,open,
3.297,331.49,1162.17,2553.50,31.0,REFRACTORY,open,
3.345,327.49,1118.29,2536.78,29.2,REFRACTORY,open,
3.391,318.84,1101.41,2514.07,29.3,REFRACTORY,open,
3.443,324.34,1075.77,2506.84,25.0,REFRACTORY,open,
3.487,298.78,1064.36,2514.69,20.3,REFRACTORY,open,
3.531,327.23,1067.68,2535.24,23.6,REFRACTORY,open,
3.579,293.29,1063.19,2527.78,21.9,REFRACTORY,open,
3.625,318.42,1047.77,2517.30,22.9,REFRACTORY,open,
3.673,294.52,1040.12,2507.54,21.6,REFRACTORY,open,
3.719,310.53,1039.70,2505.40,19.5,REFRACTORY,open,
3.771,307.11,1030.79,2494.78,17.4,IDLE,open,
3.817,284.66,1021.94,2486.49,14.3,IDLE,open,
3.862,282.40,1012.22,2481.61,12.1,IDLE,open,
3.910,264.79,1015.93,2487.27,9.8,IDLE,open,
3.956,278.03,1021.55,2497.60,10.2,IDLE,open,
4.006,303.21,1042.90,2511.72,7.8,IDLE,open,
4.051,324.55,1060.43,2531.86,7.9,IDLE,open,
4.101,313.71,1076.06,2553.77,5.8,IDLE,open,
4.143,319.95,1099.72,2572.04,6.3,IDLE,open,
4.191,317.66,1141.63,2666.97,5.4,IDLE,open,
4.237,300.52,1177.77,2699.33,7.7,IDLE,open,
4.284,321.63,1227.14,2736.25,7.3,IDLE,open,
4.332,289.26,1272.02,2769.00,8.9,IDLE,open,
4.379,334.81,1309.02,2779.50,10.5,IDLE,open,
4.427,318.22,1326.87,2589.01,21.0,IDLE,open,
4.472,752.73,1775.69,3102.09,355.6,PULSE,open,
4.516,813.43,2159.79,3482.31,495.2,PULSE,open,
4.560,889.42,2334.06,3579.42,268.4,PULSE,open,
4.608,1058.57,2454.15,2661.21,168.7,PULSE,open,
4.657,964.99,1672.21,1707.20,71.5,PULSE,open,
4.701,1238.62,1779.68,1742.86,126.0,PULSE,open,
4.753,1111.48,1846.21,1864.75,201.2,PULSE,open,
4.797,1484.53,2130.71,2064.15,271.6,PULSE,open,
4.843,1253.40,2344.30,2210.41,282.5,PULSE,open,
4.890,1632.25,2555.52,2319.46,237.1,PULSE,open,
4.935,1386.11,2654.72,2378.42,177.2,PULSE,open,
4.997,1691.75,2071.26,1483.97,108.7,PULSE,open,
5.032,1420.47,1274.90,1102.56,79.2,PULSE,open,
5.080,1555.44,734.68,748.95,44.9,PULSE,open,
5.125,1517.69,775.92,775.70,18.0,REFRACTORY,open,
5.169,1405.57,869.40,964.72,7.0,REFRACTORY,open,
5.232,1391.96,570.34,621.45,28.6,REFRACTORY,open,
5.267,1343.99,759.37,747.48,37.7,REFRACTORY,open,
5.325,1529.97,633.59,658.14,43.0,REFRACTORY,open,
5.360,1280.16,683.81,585.22,48.5,REFRACTORY,open,
5.408,1611.35,664.42,580.11,52.2,REFRACTORY,open,
5.465,1304.86,742.94,636.48,49.7,REFRACTORY,open,
5.502,1606.80,564.64,531.03,48.3,REFRACTORY,open,
5.560,1291.40,680.72,598.93,47.8,REFRACTORY,open,
5.597,1548.26,519.14,444.24,47.1,REFRACTORY,open,
5.653,1313.44,540.27,448.16,45.0,REFRACTORY,open,
5.689,1481.20,499.49,442.05,47.6,REFRACTORY,open,
5.735,1488.53,502.98,451.23,48.8,REFRACTORY,open,
5.794,1520.83,516.49,424.45,54.4,REFRACTORY,open,
5.847,1373.21,536.82,433.23,62.7,REFRACTORY,open,
5.962,1389.32,645.96,568.49,87.7,REFRACTORY,open,
5.999,1609.81,624.34,548.60,92.1,REFRACTORY,open,
6.036,1691.31,774.87,748.77,92.8,REFRACTORY,open,
6.072,1446.66,870.49,789.06,91.3,REFRACTORY,open,
6.109,1732.13,709.82,644.13,89.0,REFRACTORY,open,
6.167,1517.31,760.70,739.56,83.1,REFRACTORY,open,
6.207,1779.98,734.34,704.37,77.8,REFRACTORY,open,
6.249,1716.35,707.49,751.60,72.5,REFRACTORY,open,
6.308,1810.97,729.96,759.04,69.0,REFRACTORY,open,
6.345,1819.15,697.20,807.72,64.6,REFRACTORY,open,
6.407,1795.28,709.30,892.07,62.1,REFRACTORY,open,
6.445,1920.54,2437.41,2872.92,59.4,REFRACTORY,open,
6.484,1669.58,2236.04,2632.58,56.7,REFRACTORY,open,
6.544,1972.04,1847.84,2349.22,66.8,REFRACTORY,open,
6.582,1731.40,1555.48,1977.89,69.3,REFRACTORY,open,
6.626,2048.83,1490.59,1985.37,68.5,REFRACTORY,open,
6.683,1764.68,2168.72,2988.64,64.2,REFRACTORY,open,
6.721,2001.87,2263.47,3552.29,57.0,REFRACTORY,open,
6.777,1796.29,1886.96,3290.86,42.2,REFRACTORY,open,
6.815,1768.10,1563.21,3083.07,30.7,REFRACTORY,open,
6.857,1729.44,1380.02,2884.33,22.9,REFRACTORY,open,
6.904,1480.65,1168.97,2673.13,10.4,REFRACTORY,open,
6.965,1573.30,989.10,2490.43,7.6,REFRACTORY,open,
7.001,1426.30,916.50,2434.17,11.7,REFRACTORY,open,
7.063,1558.36,833.13,2252.30,26.3,REFRACTORY,open,
7.101,1358.10,794.19,2244.37,29.5,REFRACTORY,open,
7.138,1647.17,813.89,2233.16,28.5,REFRACTORY,open,
7.203,1347.58,922.94,2363.47,30.2,REFRACTORY,open,
7.248,1641.04,1084.02,2416.07,31.3,REFRACTORY,open,
7.288,1284.24,1130.73,2430.17,31.0,REFRACTORY,open,
7.326,1512.41,1162.49,2446.42,25.9,REFRACTORY,open,
7.389,1294.59,1177.56,2481.49,12.2,REFRACTORY,open,
7.427,1448.51,1174.46,2472.00,7.8,REFRACTORY,open,
7.477,1454.01,1188.83,2493.44,3.4,REFRACTORY,open,
7.514,1294.62,1195.38,2519.66,2.3,REFRACTORY,open,
7.569,1569.54,1211.10,2542.62,3.6,REFRACTORY,open,
7.608,1261.46,1239.83,2584.38,4.8,REFRACTORY,open,
7.662,1574.14,1290.10,2637.57,4.9,IDLE,open,
7.715,1248.43,1317.45,2676.57,5.9,IDLE,open,
7.754,1530.85,1378.01,2746.45,7.0,IDLE,open,
7.805,1247.60,1438.10,2870.15,5.0,IDLE,open,
7.844,1468.81,1523.79,3007.51,7.3,IDLE,open,
7.897,1299.46,1649.26,3162.63,8.0,IDLE,open,
7.936,1360.65,1674.58,3159.22,7.9,IDLE,open,
7.991,1370.76,1629.38,3141.73,7.3,IDLE,open,
8.033,1335.65,1601.86,3134.01,6.8,IDLE,open,
8.086,1452.52,1568.66,3102.35,7.8,IDLE,open,
8.125,1226.99,1540.06,3047.22,9.8,IDLE,open,
8.180,1481.30,1524.37,2939.28,19.0,IDLE,open,
8.220,1188.15,1507.43,2872.97,24.8,IDLE,open,
8.265,1489.02,1518.85,2800.41,30.5,IDLE,open,
8.319,1204.09,1535.05,2750.75,37.6,IDLE,open,
8.360,1464.37,1560.32,2700.93,44.2,PULSE,open,
8.413,1277.09,1603.44,2721.77,52.6,PULSE,open,
8.455,1509.37,1592.73,2714.89,57.1,PULSE,open,
8.509,1420.43,1582.81,2690.70,60.7,PULSE,open,
8.549,1197.29,1563.97,2660.22,66.6,PULSE,open,
8.599,1144.58,1546.67,2625.99,71.5,PULSE,open,
8.639,1034.44,1523.34,2600.26,73.5,PULSE,open,
8.696,1078.55,1497.61,2570.35,74.8,PULSE,open,
8.737,1052.52,1464.75,2547.17,71.4,PULSE,open,
8.786,999.38,1392.13,2463.22,66.0,PULSE,open,
8.836,907.24,1271.56,2350.42,58.7,PULSE,open,
8.876,776.30,1244.02,2313.11,56.9,PULSE,open,
8.926,695.61,1170.83,2244.00,50.9,PULSE,open,
8.968,617.29,1141.65,2235.67,48.2,PULSE,open,
9.024,563.48,1117.09,2217.02,46.6,PULSE,open,
9.061,552.72,1114.42,2190.61,45.2,PULSE,open,
9.113,516.72,1053.70,2163.54,39.2,PULSE,open,
9.158,523.04,995.15,2157.94,35.0,PULSE,open,
9.207,566.97,964.03,2138.81,33.1,PULSE,open,
9.252,604.44,939.87,2115.19,33.0,PULSE,open,
9.299,656.51,910.10,2092.32,33.6,PULSE,open,
9.352,694.30,880.85,2073.80,31.5,PULSE,open,
9.392,679.08,856.47,2065.96,28.9,PULSE,open,
9.439,699.99,846.33,2074.73,23.4,REFRACTORY,open,open
9.489,684.00,842.51,2089.74,18.3,REFRACTORY,open,
9.529,694.26,826.40,2085.76,17.0,REFRACTORY,open,
9.582,713.84,859.16,2083.65,29.2,REFRACTORY,open,
9.626,952.40,1115.28,2272.70,254.7,REFRACTORY,open,
9.677,776.69,1168.62,1843.19,120.7,REFRACTORY,open,
9.720,1011.63,1234.69,1647.78,51.4,REFRACTORY,open,
9.766,932.12,1263.92,1617.17,63.8,REFRACTORY,open,
9.815,1201.69,1334.49,1634.67,100.0,REFRACTORY,open,
9.860,1105.94,1407.68,1704.45,120.6,REFRACTORY,open,
9.906,1149.54,1461.41,1896.84,115.6,REFRACTORY,open,
9.954,1181.39,1516.98,1919.69,96.3,REFRACTORY,open,
10.005,1110.55,1376.89,1915.09,68.6,REFRACTORY,open,
10.048,1193.84,1117.63,1854.46,47.2,REFRACTORY,open,
10.095,971.90,1033.84,1858.25,22.6,REFRACTORY,open,
10.143,1115.14,1047.93,1884.41,7.8,REFRACTORY,open,
10.187,858.91,1104.26,1946.68,7.5,REFRACTORY,open,
10.235,1018.80,1077.50,2023.41,12.7,REFRACTORY,open,
10.279,799.30,1075.00,2079.45,17.1,REFRACTORY,open,
10.331,937.99,1064.83,2079.08,21.3,REFRACTORY,open,
10.373,794.36,1055.12,2068.81,18.1,REFRACTORY,open,
10.421,819.00,964.11,2069.39,18.4,REFRACTORY,open,
10.468,800.33,924.14,2043.14,15.7,REFRACTORY,open,
10.530,815.86,970.06,1994.60,13.8,REFRACTORY,open,
10.577,703.79,931.62,1966.25,13.4,REFRACTORY,open,
10.622,722.65,827.90,1937.43,13.7,REFRACTORY,open,
10.686,590.46,822.36,1813.98,14.3,REFRACTORY,open,
10.726,682.13,764.80,1838.15,14.6,REFRACTORY,open,
10.763,726.10,711.28,1872.23,12.6,REFRACTORY,open,
10.811,524.82,688.08,1837.05,11.2,REFRACTORY,open,
10.857,726.31,726.60,1759.54,10.5,REFRACTORY,open,
10.954,723.85,696.19,1635.11,13.1,REFRACTORY,open,
10.992,545.47,650.99,1614.93,10.5,REFRACTORY,open,
11.027,571.89,560.74,1683.52,10.6,REFRACTORY,open,
11.077,704.94,584.83,1682.34,13.4,REFRACTORY,open,
11.130,534.82,527.46,1609.97,16.6,REFRACTORY,open,
11.166,681.98,578.10,1585.66,18.8,IDLE,open,
11.202,485.53,593.05,1432.89,22.3,IDLE,open,
11.261,663.84,588.11,1470.95,22.3,IDLE,open,
11.301,470.10,556.28,1401.19,23.2,IDLE,open,
11.355,626.28,538.49,1374.69,24.1,IDLE,open,
11.390,530.57,480.56,1415.50,25.0,IDLE,open,
11.448,577.41,519.59,1360.30,23.0,IDLE,open,
11.500,488.63,517.33,1340.29,21.1,IDLE,open,
11.535,464.29,414.03,1436.32,22.2,IDLE,open,
11.589,587.95,1438.42,2493.95,23.2,IDLE,open,
11.624,411.86,1388.55,2524.37,23.1,IDLE,open,
11.677,629.40,1216.29,2334.39,26.6,IDLE,open,
11.728,412.74,1319.35,2385.24,26.7,IDLE,open,
11.765,614.78,1476.68,2552.24,25.3,IDLE,open,
11.822,409.79,1463.64,2917.25,25.7,IDLE,open,
11.873,635.00,1371.80,2817.89,24.5,IDLE,open,
11.908,492.83,1294.56,2736.58,23.1,IDLE,open,
11.965,619.78,1193.53,2632.08,21.5,IDLE,open,
12.002,542.75,1123.10,2565.32,23.3,IDLE,open,
12.057,556.62,1080.45,2523.31,20.2,IDLE,open,
12.093,618.53,1074.48,2516.68,20.2,IDLE,open,
12.150,524.93,1079.45,2516.51,19.3,IDLE,open,
12.185,681.15,1076.35,2529.26,20.9,IDLE,open,
12.243,516.68,1090.01,2556.33,21.0,IDLE,open,
12.280,740.20,1100.41,2557.32,20.1,IDLE,open,
12.333,560.19,1097.65,2547.23,20.1,IDLE,open,
12.381,807.92,1094.73,2549.67,19.6,IDLE,open,
12.427,618.47,1094.37,2547.13,19.2,IDLE,open,
12.474,767.92,1094.06,2545.01,16.5,IDLE,open,
12.522,642.73,1094.99,2544.97,16.6,IDLE,open,
12.569,699.26,1102.94,2553.86,12.8,IDLE,open,
12.619,615.12,1111.87,2563.03,9.9,IDLE,open,
12.655,549.35,1123.54,2572.22,9.7,IDLE,open,
12.712,664.38,1128.82,2581.33,10.6,IDLE,open,
12.747,463.66,1136.51,2585.79,11.3,IDLE,open,
12.804,661.63,1150.12,2600.12,10.7,IDLE,open,
12.854,436.85,1162.87,2608.07,9.9,IDLE,open,
12.901,658.44,1175.71,2615.53,8.2,IDLE,open,
12.937,446.17,1186.82,2620.60,7.4,IDLE,open,
12.992,630.81,1206.25,2625.21,7.7,IDLE,open,
13.038,445.85,1219.08,2649.72,9.2,IDLE,open,
13.084,558.83,1241.53,2696.74,7.1,IDLE,open,
13.130,477.79,1267.71,2715.33,4.4,IDLE,open,
13.180,514.82,1331.03,2780.91,3.6,IDLE,open,
13.218,593.06,1345.72,2786.63,2.6,IDLE,open,
13.275,460.42,1357.04,2791.77,5.6,IDLE,open,
13.313,620.33,1373.71,2795.61,6.0,IDLE,open,
13.364,410.57,1394.47,2803.27,4.4,IDLE,open,
13.410,626.08,1394.11,2787.39,5.5,IDLE,open,
13.456,337.03,1401.91,2784.93,6.8,IDLE,open,
13.509,643.62,1418.80,2819.10,6.7,IDLE,open,
13.546,469.67,1420.92,2829.07,8.4,IDLE,open,
13.601,625.60,1425.45,2828.72,7.9,IDLE,open,
13.639,508.60,1455.10,2853.65,8.9,IDLE,open,
13.693,370.29,1454.92,2849.70,7.8,IDLE,open,
13.739,362.23,1447.90,2843.44,8.3,IDLE,open,
13.787,329.50,1450.64,2842.33,6.7,IDLE,open,
13.838,322.92,1444.21,2825.28,9.5,IDLE,open,
13.888,258.38,1439.21,2816.17,9.3,IDLE,open,
13.937,224.44,1437.48,2798.81,10.6,IDLE,open,
13.986,160.18,1430.10,2798.86,8.7,IDLE,open,
14.024,149.08,1424.24,2808.47,8.3,IDLE,open,
14.075,120.90,1422.94,2809.01,7.0,IDLE,open,
